
2024/11/30 (06:16:38) | ===> btop++ v.1.4.0
2024/11/30 (06:16:38) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/28 (11:54:40) | ===> btop++ v.1.4.0
2024/12/28 (11:54:40) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/28 (12:01:22) | ===> btop++ v.1.4.0
2024/12/28 (12:01:22) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/28 (12:07:19) | ===> btop++ v.1.4.0
2024/12/28 (12:07:19) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/28 (12:10:32) | ===> btop++ v.1.4.0
2024/12/28 (12:10:32) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/28 (12:20:05) | ===> btop++ v.1.4.0
2024/12/28 (12:20:05) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (22:35:01) | ===> btop++ v.1.4.0
2025/03/04 (22:35:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/04 (22:35:01) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/08 (12:37:52) | ===> btop++ v.1.4.0
2025/03/08 (12:37:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/08 (12:37:52) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/08 (19:28:02) | ===> btop++ v.1.4.0
2025/03/08 (19:28:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/08 (19:28:02) | WARNING: Intel GPU: Failed to initialize PMU
